latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.18471,141.92876,318.33,3.35,1.73,2024-09-27,0039,T,0,6.1NRT,299.19,55.47,D
-12.18149,141.92368,317.12,3.35,1.73,2024-09-27,0039,T,0,6.1NRT,298.74,48.7,D
-12.38483,141.95464,317.48,3.39,1.74,2024-09-27,0039,T,67,6.1NRT,297.88,31.53,D
-11.37695,132.52521,323.79,1.02,1.01,2024-09-27,0039,T,31,6.1NRT,304.85,8.54,D
-11.4175,132.36229,327.06,1.03,1.01,2024-09-27,0039,T,57,6.1NRT,307.17,11.86,D
-11.41887,132.37152,330.56,1.03,1.01,2024-09-27,0039,T,75,6.1NRT,305.61,17.07,D
-11.52356,132.64037,323.95,1.01,1.01,2024-09-27,0039,T,48,6.1NRT,305.18,9.34,D
-12.13559,135.46982,324.34,1.14,1.06,2024-09-27,0039,T,31,6.1NRT,301.57,13.51,D
-12.39573,135.42581,323.88,1.14,1.06,2024-09-27,0039,T,47,6.1NRT,305.25,9.11,D
-12.58783,136.25645,327.07,1.27,1.12,2024-09-27,0039,T,74,6.1NRT,300.9,21.26,D
-12.58933,136.26801,320.34,1.28,1.12,2024-09-27,0039,T,58,6.1NRT,298.5,11.49,D
-14.19697,136.70171,322.78,1.42,1.18,2024-09-27,0041,T,40,6.1NRT,300.45,15,D
-13.41061,130.23709,319.71,1.2,1.09,2024-09-27,0041,T,23,6.1NRT,299.62,10.36,D
-13.64398,131.0309,326,1.09,1.04,2024-09-27,0041,T,74,6.1NRT,301.88,12.2,D
-13.65173,131.01955,326.39,1.09,1.04,2024-09-27,0041,T,74,6.1NRT,302.61,13.5,D
-13.65323,131.02945,361.07,1.09,1.04,2024-09-27,0041,T,100,6.1NRT,302.56,87.43,D
-14.2334,132.57677,319.96,1,1,2024-09-27,0041,T,39,6.1NRT,301.96,6.14,D
-15.43055,141.8694,319.62,3.68,1.8,2024-09-27,0041,T,38,6.1NRT,297.98,39.09,D
-14.36789,132.93184,328.16,1,1,2024-09-27,0041,T,74,6.1NRT,303.23,14.57,D
-14.3692,132.94095,324.46,1,1,2024-09-27,0041,T,62,6.1NRT,301.36,10.43,D
-14.56695,131.77194,324.89,1.02,1.01,2024-09-27,0041,T,53,6.1NRT,303.54,8.82,D
-14.56834,131.78123,329.77,1.02,1.01,2024-09-27,0041,T,78,6.1NRT,304.82,14.35,D
